algo,P_int,Pd,Pfa,TTFI,avg_reward
sawtooth|fixed_periodic,0.028449999999999996,0.9483333333333333,0.020180412371134018,194.0,0.04802499999999999
stepped_lo|fixed_periodic,0.030725,0.956621857107294,0.02025627204460121,101.4,0.05035
uniform_rand|fixed_periodic,0.0296,0.9515095598845599,0.01999492892287569,32.665,0.04897500000000001
UCB1|fixed_periodic,0.01205,0.9486591838773784,0.019974603441664497,165.27,0.031775000000000005
D-UCB|fixed_periodic,0.0143,0.967693948518744,0.019823338876089062,167.595,0.033875
SW-UCB|fixed_periodic,0.03115,0.9538590927099408,0.01993424741744973,164.96,0.050525
Exp3|fixed_periodic,0.029500000000000002,0.9562949134199136,0.020000571216427974,30.325,0.048875
Myopic|fixed_periodic,0.0475,0.9514450271950272,0.020070282021476076,18.55,0.0666
Whittle|fixed_periodic,0.028775000000000005,0.9515950966955993,0.020104990836158073,30.52,0.048275000000000005
sawtooth|pseudo_random,0.030250000000000003,0.9468931741659015,0.020122802688514355,34.9,0.049725
stepped_lo|pseudo_random,0.029450000000000004,0.9466517769548073,0.020152745860024326,31.66,0.04897500000000001
uniform_rand|pseudo_random,0.02985,0.9535389610389611,0.020061749746197958,31.685,0.049275
UCB1|pseudo_random,0.029400000000000003,0.9533476523476524,0.020116144183169978,35.565,0.048875
D-UCB|pseudo_random,0.028999999999999998,0.9516114817622355,0.020104103608049838,34.875,0.048475000000000004
SW-UCB|pseudo_random,0.029249999999999998,0.9511726190476191,0.0201225440948865,37.72,0.04875
Exp3|pseudo_random,0.029525000000000006,0.9470701269696244,0.020068075373264445,31.765,0.048975
Myopic|pseudo_random,0.030975000000000006,0.9498812605596526,0.020107133116341797,27.69,0.050425000000000005
Whittle|pseudo_random,0.028350000000000004,0.9445834582084583,0.01993770833999341,33.66,0.047700000000000006
sawtooth|markov_restless,0.029525000000000003,0.9554706127206128,0.020209045869773488,30.14,0.04910000000000001
stepped_lo|markov_restless,0.029675000000000003,0.9491843434343434,0.02044516902787995,27.825,0.049475
uniform_rand|markov_restless,0.030275000000000003,0.9442012987012987,0.01985324141861991,31.235,0.049475
UCB1|markov_restless,0.072975,0.9317120716081111,0.019927055445999212,30.235,0.09135000000000001
D-UCB|markov_restless,0.031900000000000005,0.9446982323232324,0.02012975186455879,29.845,0.05135
SW-UCB|markov_restless,0.036500000000000005,0.9510413385633975,0.020177695894940416,30.425,0.055900000000000005
Exp3|markov_restless,0.03185,0.9553342352092352,0.019971499671660734,28.79,0.05115
Myopic|markov_restless,0.17950000000000002,0.9458133635308229,0.0198970559687262,27.705,0.195625
Whittle|markov_restless,0.17950000000000002,0.9458133635308229,0.0198970559687262,27.705,0.195625
