#{"t_start": 1790375980.845759, "env_id": "None"}
r,l,t
3.65,200,0.067029
3.65,200,0.126055
-2.65,200,0.185857
6.8,200,0.245569
-1.6,200,0.307313
-4.75,200,0.444098
6.8,200,0.582626
4.7,200,0.720201
-3.7,200,0.859903
4.7,200,1.005213
4.7,200,1.145543
-2.65,200,1.289169
2.6,200,1.4293
3.65,200,1.56819
5.75,200,1.705591
1.55,200,1.848938
1.55,200,1.992294
2.6,200,2.136199
-3.7,200,2.275935
-0.55,200,2.41922
-4.75,200,2.562707
-1.6,200,2.7026
3.65,200,2.844962
0.5,200,2.992949
-0.55,200,3.137189
0.5,200,3.277227
0.5,200,3.416594
0.5,200,3.563347
1.55,200,3.707017
6.8,200,3.8513
-0.55,200,3.99205
-5.8,200,4.137221
2.6,200,4.285167
0.5,200,4.428072
2.6,200,4.570624
-1.6,200,4.735527
5.75,200,4.88666
-1.6,200,5.03508
3.65,200,5.194618
-0.55,200,5.348246
2.6,200,5.495124
2.6,200,5.648622
4.7,200,5.805821
-0.55,200,5.956612
5.75,200,6.104347
3.65,200,6.254968
-3.7,200,6.398602
-2.65,200,6.545384
-2.65,200,6.697601
-0.55,200,6.846181
-4.75,200,6.995055
-1.6,200,7.142845
-3.7,200,7.291071
-0.55,200,7.436973
-2.65,200,7.58035
0.5,200,7.728126
3.65,200,7.878397
0.5,200,8.026216
-2.65,200,8.173986
-3.7,200,8.31895
2.6,200,8.471034
-2.65,200,8.622509
11.0,200,8.770329
-1.6,200,8.917917
2.6,200,9.069166
-0.55,200,9.2252
-3.7,200,9.372359
-1.6,200,9.52029
-0.55,200,9.688581
7.85,200,9.837659
-1.6,200,9.987193
4.7,200,10.135164
11.0,200,10.282371
7.85,200,10.430935
6.8,200,10.580467
-3.7,200,10.729278
1.55,200,10.880555
0.5,200,11.036939
3.65,200,11.185367
-4.75,200,11.332211
-0.55,200,11.482382
3.65,200,11.635653
-2.65,200,11.783731
-3.7,200,11.93443
1.55,200,12.083538
7.85,200,12.234354
9.95,200,12.382367
-0.55,200,12.539944
-4.75,200,12.702801
2.6,200,12.864452
1.55,200,13.015913
8.9,200,13.167221
-4.75,200,13.317238
7.85,200,13.471644
0.5,200,13.621751
-2.65,200,13.783488
-4.75,200,13.933694
0.5,200,14.084206
-2.65,200,14.234196
-0.55,200,14.383064
-3.7,200,14.535733
-3.7,200,14.686763
0.5,200,14.837513
3.65,200,14.988766
-2.65,200,15.162056
5.75,200,15.31276
-0.55,200,15.466863
0.5,200,15.625702
-1.6,200,15.780368
1.55,200,15.932155
2.6,200,16.084634
0.5,200,16.238319
-4.75,200,16.392363
1.55,200,16.552518
4.7,200,16.7048
4.7,200,16.857085
0.5,200,17.014028
-4.75,200,17.16941
7.85,200,17.325571
0.5,200,17.484611
-2.65,200,17.641726
-5.8,200,17.802294
-2.65,200,17.957454
-0.55,200,18.113575
3.65,200,18.27326
-0.55,200,18.43048
-3.7,200,18.585892
-2.65,200,18.742496
6.8,200,18.896937
-8.95,200,19.054241
13.1,200,19.214143
-0.55,200,19.366808
18.35,200,19.526021
2.6,200,19.683198
3.65,200,19.838579
-2.65,200,19.996483
-5.8,200,20.156139
1.55,200,20.315492
-3.7,200,20.473511
-0.55,200,20.630784
3.65,200,20.813297
-6.85,200,20.969845
5.75,200,21.124125
5.75,200,21.283579
1.55,200,21.44364
5.75,200,21.5994
4.7,200,21.754086
0.5,200,21.908788
19.4,200,22.065049
-5.8,200,22.221065
-0.55,200,22.379813
-1.6,200,22.538709
4.7,200,22.697732
6.8,200,22.85636
-3.7,200,23.013448
0.5,200,23.169281
1.55,200,23.335191
-0.55,200,23.495339
6.8,200,23.653254
15.2,200,23.812681
7.85,200,23.97208
-3.7,200,24.130871
9.95,200,24.286536
-3.7,200,24.444603
0.5,200,24.603965
0.5,200,24.764876
-6.85,200,24.926953
-1.6,200,25.096984
22.55,200,25.266546
15.2,200,25.42375
2.6,200,25.581889
20.45,200,25.738961
-4.75,200,25.899129
-2.65,200,26.059134
19.4,200,26.214744
-1.6,200,26.373361
13.1,200,26.531532
1.55,200,26.689308
1.55,200,26.846998
13.1,200,27.004845
22.55,200,27.163854
-1.6,200,27.324892
23.6,200,27.505998
4.7,200,27.663148
3.65,200,27.8225
-6.85,200,27.98164
-4.75,200,28.140134
-2.65,200,28.29855
6.8,200,28.45894
3.65,200,28.617991
-3.7,200,28.775687
-2.65,200,28.932819
-1.6,200,29.092846
21.5,200,29.255972
19.4,200,29.412764
-2.65,200,29.570979
9.95,200,29.729623
4.7,200,29.890237
13.1,200,30.050687
3.65,200,30.209647
1.55,200,30.368229
3.65,200,30.526497
7.85,200,30.68418
20.45,200,30.840862
20.45,200,31.003123
3.65,200,31.164526
3.65,200,31.320376
-0.55,200,31.475971
4.7,200,31.635692
9.95,200,31.794302
6.8,200,31.951559
-4.75,200,32.108775
20.45,200,32.26569
21.5,200,32.423001
12.05,200,32.581447
3.65,200,32.739745
3.65,200,32.899407
-10.0,200,33.058515
0.5,200,33.216639
6.8,200,33.375135
16.25,200,33.53583
32.0,200,33.715068
-6.85,200,33.874211
18.35,200,34.031793
8.9,200,34.199503
12.05,200,34.358086
-7.9,200,34.515721
43.55,200,34.673093
0.5,200,34.832923
-5.8,200,34.98936
2.6,200,35.147982
25.7,200,35.305293
5.75,200,35.464703
-3.7,200,35.624322
-1.6,200,35.782834
21.5,200,35.941608
40.4,200,36.103519
-1.6,200,36.261833
-2.65,200,36.419522
-4.75,200,36.574734
0.5,200,36.735162
35.15,200,36.893175
5.75,200,37.050459
1.55,200,37.207564
9.95,200,37.365395
-3.7,200,37.5246
4.7,200,37.685225
-7.9,200,37.844293
15.2,200,38.005047
5.75,200,38.165167
35.15,200,38.322029
-1.6,200,38.481985
-1.6,200,38.642143
2.6,200,38.801514
13.1,200,38.960753
16.25,200,39.11923
2.6,200,39.278032
0.5,200,39.436281
2.6,200,39.592585
-5.8,200,39.752096
-4.75,200,39.91323
8.9,200,40.090202
7.85,200,40.248167
1.55,200,40.406525
-3.7,200,40.566257
4.7,200,40.72561
8.9,200,40.882973
-3.7,200,41.043667
14.15,200,41.203405
-1.6,200,41.362567
1.55,200,41.521465
3.65,200,41.677322
-6.85,200,41.836349
11.0,200,41.995983
4.7,200,42.154641
6.8,200,42.312266
5.75,200,42.473698
3.65,200,42.63279
0.5,200,42.791821
-1.6,200,42.949806
4.7,200,43.110351
0.5,200,43.269507
-5.8,200,43.428429
-2.65,200,43.586784
0.5,200,43.746496
13.1,200,43.904621
22.55,200,44.062938
8.9,200,44.221167
-2.65,200,44.384651
12.05,200,44.543425
1.55,200,44.701065
19.4,200,44.856464
-4.75,200,45.013906
-4.75,200,45.170398
14.15,200,45.328039
-0.55,200,45.486051
7.85,200,45.645584
-0.55,200,45.804308
-0.55,200,45.961129
20.45,200,46.119463
16.25,200,46.279774
4.7,200,46.455349
19.4,200,46.614693
-0.55,200,46.774534
-0.55,200,46.932696
5.75,200,47.09311
6.8,200,47.251993
8.9,200,47.410746
16.25,200,47.571477
-0.55,200,47.73
2.6,200,47.887534
16.25,200,48.045286
30.95,200,48.207088
0.5,200,48.368216
29.9,200,48.526852
-4.75,200,48.685127
24.65,200,48.844558
9.95,200,49.006543
24.65,200,49.16623
5.75,200,49.324565
2.6,200,49.48754
15.2,200,49.646342
11.0,200,49.804488
-4.75,200,49.961115
11.0,200,50.124224
-4.75,200,50.283488
-0.55,200,50.441267
-0.55,200,50.598498
5.75,200,50.757065
13.1,200,50.919489
-4.75,200,51.078799
7.85,200,51.236834
18.35,200,51.395944
8.9,200,51.553839
9.95,200,51.711286
7.85,200,51.870633
-4.75,200,52.029847
34.1,200,52.193999
0.5,200,52.351138
5.75,200,52.50979
17.3,200,52.672113
-2.65,200,52.847665
20.45,200,53.007734
20.45,200,53.171102
2.6,200,53.329808
28.85,200,53.488467
-5.8,200,53.647981
-6.85,200,53.808025
-0.55,200,53.967723
-1.6,200,54.127217
21.5,200,54.286598
8.9,200,54.4451
6.8,200,54.603951
2.6,200,54.764172
9.95,200,54.921633
22.55,200,55.081419
6.8,200,55.241638
-3.7,200,55.408514
-1.6,200,55.566771
3.65,200,55.726152
-5.8,200,55.887839
8.9,200,56.047858
4.7,200,56.20478
2.6,200,56.359323
1.55,200,56.516974
-1.6,200,56.67517
23.6,200,56.834323
7.85,200,56.997499
9.95,200,57.164253
-5.8,200,57.326393
22.55,200,57.482949
16.25,200,57.64211
-0.55,200,57.801186
5.75,200,57.959439
1.55,200,58.118334
20.45,200,58.277571
-0.55,200,58.436566
8.9,200,58.599195
12.05,200,58.756763
12.05,200,58.91319
25.7,200,59.093575
13.1,200,59.254098
4.7,200,59.413184
-0.55,200,59.570621
1.55,200,59.730369
21.5,200,59.890034
5.75,200,60.04734
3.65,200,60.206565
-0.55,200,60.365885
21.5,200,60.525522
5.75,200,60.684236
1.55,200,60.841903
1.55,200,61.002967
4.7,200,61.163635
0.5,200,61.321438
9.95,200,61.479285
1.55,200,61.638125
5.75,200,61.797285
11.0,200,61.954719
38.3,200,62.113343
12.05,200,62.273254
-2.65,200,62.432413
-0.55,200,62.590783
-0.55,200,62.750679
11.0,200,62.908871
2.6,200,63.074869
-3.7,200,63.233432
-6.85,200,63.3913
3.65,200,63.550459
-4.75,200,63.709838
11.0,200,63.870281
11.0,200,64.027947
17.3,200,64.187517
-3.7,200,64.353457
26.75,200,64.512125
-0.55,200,64.670588
5.75,200,64.829982
4.7,200,64.995584
9.95,200,65.153843
-3.7,200,65.313191
7.85,200,65.489136
22.55,200,65.647822
6.8,200,65.809129
-2.65,200,65.965776
2.6,200,66.125511
-0.55,200,66.284914
28.85,200,66.443661
37.25,200,66.599231
15.2,200,66.758708
27.8,200,66.917993
23.6,200,67.07776
39.35,200,67.236166
3.65,200,67.396741
-3.7,200,67.554278
-6.85,200,67.712728
21.5,200,67.870296
4.7,200,68.029271
12.05,200,68.189537
-2.65,200,68.347611
-2.65,200,68.504611
23.6,200,68.668095
-2.65,200,68.826361
8.9,200,68.9857
5.75,200,69.144874
-5.8,200,69.303263
-5.8,200,69.464925
-5.8,200,69.623112
1.55,200,69.779714
-4.75,200,69.939946
-2.65,200,70.099082
-6.85,200,70.25795
8.9,200,70.415595
0.5,200,70.577113
9.95,200,70.738057
38.3,200,70.895815
28.85,200,71.053934
15.2,200,71.215169
2.6,200,71.374151
7.85,200,71.531781
23.6,200,71.696225
-7.9,200,71.856311
20.45,200,72.016606
